Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
0,"Conv2d(3, 32, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",3456,602112,1605632,9634656.0,25690112.0,693633024,29194984.0,61014880.0,9634656.0,1387266048,3504872.0
1,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,25690176.0,25690112.0,128450560,54885096.0,77070400.0,25690176.0,256901120,29194984.0
2,"Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=32, bias=False)",1152,1605632,1605632,25690400.0,25690112.0,231211008,80575208.0,77070624.0,25690400.0,462422016,54885096.0
3,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,25690176.0,25690112.0,128450560,106265320.0,77070400.0,25690176.0,256901120,80575208.0
4,"Conv2d(32, 16, kernel_size=(1, 1), stride=(1, 1), bias=False)",2048,1605632,802816,25690624.0,12845056.0,411041792,119110376.0,51380736.0,25690624.0,822083584,106265320.0
5,"BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",128,802816,802816,12845088.0,12845056.0,64225280,131955432.0,38535200.0,12845088.0,128450560,119110376.0
6,"Conv2d(16, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",6144,802816,4816896,12846592.0,77070336.0,1233125376,209025768.0,166987264.0,12846592.0,2466250752,131955432.0
7,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,4816896,4816896,77070528.0,77070336.0,385351680,286096104.0,231211200.0,77070528.0,770703360,209025768.0
8,"Conv2d(96, 96, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=96, bias=False)",3456,4816896,1204224,77071200.0,19267584.0,173408256,305363688.0,115606368.0,77071200.0,346816512,286096104.0
9,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,1204224,1204224,19267776.0,19267584.0,96337920,324631272.0,57802944.0,19267776.0,192675840,305363688.0
10,"Conv2d(96, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",9216,1204224,301056,19269888.0,4816896.0,462422016,329448168.0,28903680.0,19269888.0,924844032,324631272.0
11,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",192,301056,301056,4816944.0,4816896.0,24084480,334265064.0,14450736.0,4816944.0,48168960,329448168.0
12,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,301056,1806336,4820352.0,28901376.0,693633024,363166440.0,62623104.0,4820352.0,1387266048,334265064.0
13,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,28901664.0,28901376.0,144506880,392067816.0,86704416.0,28901664.0,289013760,363166440.0
14,"Conv2d(144, 144, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=144, bias=False)",5184,1806336,1806336,28902672.0,28901376.0,260112384,420969192.0,86705424.0,28902672.0,520224768,392067816.0
15,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,28901664.0,28901376.0,144506880,449870568.0,86704416.0,28901664.0,289013760,420969192.0
16,"Conv2d(144, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,1806336,301056,28904832.0,4816896.0,693633024,454687464.0,38538624.0,28904832.0,1387266048,449870568.0
