Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
0,"Conv2d(3, 32, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",3456,602112,1605632,38538624,102760448,693633024,14578336,102763904,0,0,491282080.0
1,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,102760704,102760448,128450560,14578336,102760704,0,0,491282080.0
2,"Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=32, bias=False)",1152,1605632,1605632,102761600,102760448,494534656,65958560.0,154146176.0,51385728.0,231211008,491282080.0
3,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,51385728.0,51380224.0,128450560,65958560.0,102761600,102760448,128450560,491410080.0
4,"Conv2d(32, 16, kernel_size=(1, 1), stride=(1, 1), bias=False)",2048,1605632,802816,102760704,102760448,411041792,65958560.0,102760704,102760448,411041792,491410080.0
5,"BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",128,802816,802816,102762496,51380224,64225280,65958560.0,51382272,102760448,64225280,491410080.0
6,"Conv2d(16, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",6144,802816,4816896,51380352,51380224,1313406976,220099232.0,51380352,51380224,1233125376,491410080.0
7,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,4816896,4816896,51386368,308281344,385351680,220099232.0,77072064.0,25691840.0,385351680,491538080.0
8,"Conv2d(96, 96, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=96, bias=False)",3456,4816896,1204224,25691840.0,25690112.0,173408256,220099232.0,308287488,51380224,173408256,491538080.0
9,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,1204224,1204224,308282112,308281344,96337920,220099232.0,308282112,308281344,96337920,491538080.0
10,"Conv2d(96, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",9216,1204224,301056,308284800,77070336,462422016,220099232.0,77073792,308281344,462422016,491538080.0
11,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",192,301056,301056,77071104,77070336,24084480,220099232.0,77071104,77070336,24084480,491538080.0
12,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,301056,1806336,77079552,19267584,733372416,277901984.0,19276800,77070336,693633024,491538080.0
