Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
0,"Conv2d(3, 32, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",3456,602112,1605632,38538624,102760448,693633024,14019488,102763904,0,0,14019488
1,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,102760704,102760448,128450560,14019488,102760704,0,0,14019488
2,"Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=32, bias=False)",1152,1605632,1605632,102761600,102760448,231211008,14019488,102761600,0,0,14019488
3,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,102760704,102760448,128450560,14019488,102760704,0,0,14019488
4,"Conv2d(32, 16, kernel_size=(1, 1), stride=(1, 1), bias=False)",2048,1605632,802816,102762496,51380224,411041792,65399712,205522944,102762496,822083584,14019488
5,"BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",128,802816,802816,51380352,51380224,64225280,65399712,51380352,51380224,64225280,65399712
6,"Conv2d(16, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",6144,802816,4816896,51386368,308281344,1233125376,373681056,667949056,51386368,2466250752,65399712
7,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,4816896,4816896,308282112,308281344,385351680,373681056,308282112,308281344,385351680,373681056
8,"Conv2d(96, 96, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=96, bias=False)",3456,4816896,1204224,308284800,77070336,173408256,373681056,77073792,308281344,173408256,373681056
9,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,1204224,1204224,77071104,77070336,96337920,373681056,77071104,77070336,96337920,373681056
10,"Conv2d(96, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",9216,1204224,301056,77079552,19267584,462422016,392948640,115614720,77079552,924844032,373681056
11,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",192,301056,301056,19267776,19267584,24084480,392948640,19267776,19267584,24084480,392948640
12,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,301056,1806336,19281408,115605504,693633024,508554144,250492416,19281408,1387266048,392948640
13,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,115606656,115605504,144506880,508554144,115606656,115605504,144506880,508554144
14,"Conv2d(144, 144, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=144, bias=False)",5184,1806336,1806336,115610688,115605504,260112384,508554144,115610688,115605504,260112384,508554144
15,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,115606656,115605504,144506880,508554144,115606656,115605504,144506880,508554144
16,"Conv2d(144, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,1806336,301056,115619328,19267584,693633024,527821728,154154496,115619328,1387266048,508554144
17,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",192,301056,301056,19267776,19267584,24084480,527821728,19267776,19267584,24084480,527821728
18,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,301056,1806336,19281408,115605504,693633024,643427232,250492416,19281408,1387266048,527821728
19,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,115606656,115605504,144506880,643427232,115606656,115605504,144506880,643427232
