Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
0,"Conv2d(3, 32, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",3456,602112,1605632,605568,1605632,10838016,15625120,3816832,605568,21676032,14019488
1,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,1605888,1605632,2007040,17230752,4817152,1605888,4014080,15625120
2,"Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=32, bias=False)",1152,1605632,1605632,1606784,1605632,3612672,18836384,4818048,1606784,7225344,17230752
3,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",256,1605632,1605632,1605888,1605632,2007040,20442016,4817152,1605888,4014080,18836384
4,"Conv2d(32, 16, kernel_size=(1, 1), stride=(1, 1), bias=False)",2048,1605632,802816,1607680,802816,6422528,21244832,3213312,1607680,12845056,20442016
5,"BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",128,802816,802816,802944,802816,1003520,22047648,2408576,802944,2007040,21244832
6,"Conv2d(16, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",6144,802816,4816896,808960,4816896,19267584,26864544,10442752,808960,38535168,22047648
7,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,4816896,4816896,4817664,4816896,6021120,31681440,14451456,4817664,12042240,26864544
8,"Conv2d(96, 96, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=96, bias=False)",3456,4816896,1204224,4820352,1204224,2709504,32885664,7228800,4820352,5419008,31681440
9,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",768,1204224,1204224,1204992,1204224,1505280,34089888,3613440,1204992,3010560,32885664
10,"Conv2d(96, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",9216,1204224,301056,1213440,301056,7225344,34390944,1815552,1213440,14450688,34089888
11,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",192,301056,301056,301248,301056,376320,34692000,903360,301248,752640,34390944
12,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,301056,1806336,314880,1806336,10838016,36498336,3927552,314880,21676032,34692000
13,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,1807488,1806336,2257920,38304672,5420160,1807488,4515840,36498336
14,"Conv2d(144, 144, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=144, bias=False)",5184,1806336,1806336,1811520,1806336,4064256,40111008,5424192,1811520,8128512,38304672
15,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,1807488,1806336,2257920,41917344,5420160,1807488,4515840,40111008
16,"Conv2d(144, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,1806336,301056,1820160,301056,10838016,42218400,2422272,1820160,21676032,41917344
17,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",192,301056,301056,301248,301056,376320,42519456,903360,301248,752640,42218400
18,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",13824,301056,1806336,314880,1806336,10838016,44325792,3927552,314880,21676032,42519456
19,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1152,1806336,1806336,1807488,1806336,2257920,46132128,5420160,1807488,4515840,44325792
